5301.19501749932	3399.01855740518	apfgbaec-1
5303.1980060074	3389.63528802229	apfghlig-1
5307.81658576207	3397.0223674795	apfgimpl-1
5310.52762495827	3393.91116205315	apfgjmmj-1
5311.59259229451	3384.18510682235	apfgmeec-1
5314.97211424554	3390.85159339319	apfhaphk-1
5315.57318241113	3399.13104148251	apfhdkpn-1
5318.94756758858	3383.66789108238	apfhkecp-1
5323.42939319686	3387.75432382255	apficibd-1
5324.34865094323	3396.40133780356	apfiikpe-1
5331.15700594355	3387.13587911892	apfilgbc-1
5330.94525988337	3398.63682294302	apfjjffa-1
5332.75904726759	3393.92154367904	apfjpdaj-1
5175.45835187807	3390.4676993584	apfkadni-1
5179.73257635654	3370.69691998481	apfkbabm-1
5177.57644106093	3379.65423543843	apfkgpbg-1
5186.58578012748	3375.69454517849	apfkkebm-1
5192.51728588815	3393.82804357022	apfknkad-1
5207.56348775837	3382.86153058798	apflkfal-1
5222.00596187138	3385.28669045806	apfmfhni-1
5257.38917623362	3395.95068223343	apfmgnob-1
5254.28125148599	3379.43705472135	apfmhnlj-1
5753.74977485936	3264.92161043003	apggkagb-1
5758.97240305797	3298.80993250599	apggpfbg-1
5753.93361054627	3303.46233720696	apghffli-1
5759.16821048691	3358.25092786457	apghfmha-1
5509.29518297481	3369.82393797427	apghfofb-1
5537.41355135872	3369.78065899737	apghgffa-1
5544.01253953224	3369.53656326658	apghmkmj-1
5522.3724527622	3371.77573333358	apgjjgkn-1
5626.48926033385	3373.6042771236	apgjkhfp-1
5670.45499263466	3373.54046544932	apgjncik-1
5746.5424810456	3374.96721732844	apgkdkad-1
5635.89182729612	3373.49041305741	apgkfceo-1
5556.80196607079	3372.98522928319	apgkhnef-1
5677.90546554231	3373.50013521745	apgkmmee-1
5646.87300384857	3374.54338185298	apgljfph-1
5527.70963783436	3375.3980917214	apgmcdmb-1
5755.28100233	3374.35685181422	apgnfoem-1
5600.16541548925	3371.60226228015	apgoakhh-1
5321.05447044175	3378.76403476934	apgocaha-1
5596.68806931514	3377.78659353909	apgocogc-1
5700.99617422309	3373.51333820879	apgoichb-1
5612.13688648889	3374.16252911676	apgpenjj-1
5727.28506389471	3375.08739860612	apgphbjf-1
5512.66930264905	3374.73184336844	apgpicla-1
5505.41762038324	3375.50710437136	apgpkhmo-1
5655.78342477092	3373.35908091499	aphadgmk-1
